CRBI,RBI,CAtBat,AtBat,Walks,Assists,PutOuts,Years,NewLeague,Runs,Salary
227.0,107.0,1437.0,616.0,32.0,308.0,110.0,3.0,0,83.0,200.0
125.0,26.0,1188.0,219.0,17.0,58.0,260.0,12.0,0,24.0,313.0181944982613
337.0,78.0,3053.0,579.0,58.0,478.1600000000001,280.0,6.0,1,67.0,657.0
10.0,9.0,196.0,165.0,16.0,19.0,332.0,3.0,1,13.0,75.0
1289.0,110.0,7127.0,618.0,62.0,16.0,330.0,13.0,0,98.0,1967.6500000000008
324.0,26.0,3910.0,257.0,32.0,166.0,87.0,14.0,0,31.0,250.0
94.0,60.0,630.0,315.0,25.0,39.0,498.0,3.0,1,35.0,155.0
226.0,78.0,2020.0,591.0,26.0,440.0,290.0,4.0,1,90.0,640.0
135.0,49.0,1354.0,404.0,18.0,5.0,222.0,6.0,0,54.0,300.0
46.0,37.0,450.0,315.0,16.0,15.0,227.0,4.0,0,23.0,110.0
48.0,19.0,702.0,249.0,20.0,8.0,103.0,4.0,1,32.0,251.1279450048725
579.0,42.0,5590.0,429.0,57.0,46.0,686.0,13.0,1,41.0,825.0
46.0,44.0,233.0,212.0,18.0,23.0,243.0,2.0,0,28.0,375.5232562921646
72.0,43.0,948.0,453.0,61.0,444.0,249.0,3.0,1,46.0,195.0
99.0,26.0,707.0,161.0,22.0,12.0,300.0,3.0,0,17.0,308.56760858823714
382.0,28.0,3327.0,184.0,18.0,2.0,49.0,11.0,1,20.0,450.0
195.0,79.0,1689.0,591.0,38.0,12.0,303.0,5.0,1,83.0,630.0
23.0,23.0,181.0,181.0,22.0,0.0,88.0,1.0,1,34.0,86.5
420.0,86.0,2723.0,441.0,68.0,2.0,190.0,8.0,0,84.0,1300.0
707.0,58.0,6126.0,490.0,35.0,5.0,96.0,14.0,1,69.0,1000.0
900.0,83.0,6090.0,551.0,93.58000000000004,149.0,1199.0,13.0,1,94.0,1800.0
474.0,91.0,2816.0,550.0,71.0,104.0,1218.0,6.0,0,85.0,1310.0
456.0,29.0,3919.0,283.0,22.0,5.0,145.0,10.0,1,34.0,737.5
260.0,96.0,1789.0,560.0,66.0,9.0,332.0,4.0,1,89.0,625.0
44.0,43.0,342.0,328.0,33.0,59.0,145.0,2.0,1,51.0,125.0
477.0,79.0,3082.0,586.0,53.0,13.0,181.0,9.0,1,72.0,1043.333
303.0,48.0,3423.0,503.0,83.0,258.0,65.0,10.0,1,62.0,725.0
156.0,64.0,911.0,344.0,88.0,0.0,0.0,7.0,0,69.0,300.0
201.0,96.0,1928.0,658.5900000000004,34.0,8.0,429.0,3.0,0,107.79000000000002,365.0
26.0,26.0,279.0,279.0,30.0,205.0,107.0,1.0,1,31.0,75.0
458.0,65.0,3006.0,484.0,67.0,80.0,1231.0,7.0,1,66.0,1183.333
64.0,45.0,667.0,431.0,58.0,8.0,283.0,2.0,1,77.0,202.5
483.0,37.0,4479.0,283.0,27.0,2.0,156.0,12.0,0,33.0,225.0
430.0,47.0,4291.0,491.0,37.0,8.0,239.0,15.0,0,77.0,525.0
119.0,28.0,805.0,199.0,21.0,22.0,235.0,6.0,1,26.0,265.0
471.0,86.0,3558.0,589.0,64.0,6.0,371.0,7.0,0,89.0,787.5
700.0,62.0,4273.0,327.0,38.0,48.0,483.0,10.0,1,53.0,800.0
840.0,94.0,5829.0,464.0,52.0,0.0,0.0,13.0,0,67.0,587.5
13.0,13.0,166.0,166.0,17.0,119.0,64.0,1.0,1,20.0,200.62235167341018
112.0,60.0,682.0,338.0,21.0,0.0,0.0,3.0,0,42.0,145.0
289.0,44.0,3148.0,508.0,46.0,5.0,245.0,9.0,0,80.0,437.8314590325031
522.0,73.0,4704.0,584.0,63.0,421.0,276.0,10.0,0,95.0,420.0
25.0,25.0,216.0,216.0,33.0,36.0,317.0,1.0,1,27.0,75.0
163.0,60.0,1696.0,625.0,65.0,450.0,303.0,5.0,0,94.0,575.0
110.0,26.0,853.0,243.0,27.0,3.0,107.0,4.0,1,18.0,313.0181944982613
263.0,55.0,2051.0,489.0,34.0,9.0,310.0,7.0,0,77.0,780.0
37.0,36.0,216.0,209.0,19.0,6.0,201.0,2.0,1,22.0,90.0
69.0,30.0,969.0,407.0,30.0,317.0,172.0,2.0,1,47.0,150.0
491.0,78.0,3400.0,490.0,49.0,0.0,0.0,13.0,1,64.0,700.0
106.0,37.0,884.0,209.0,27.0,35.0,415.0,4.0,1,20.0,344.78710816894505
203.0,77.0,1416.0,442.0,33.0,7.0,233.0,6.0,0,68.0,550.0
270.0,32.0,2543.0,317.0,19.0,16.0,220.0,8.0,0,40.0,352.39732305466316
325.0,36.0,2815.0,288.0,27.0,30.0,259.0,9.0,0,30.0,650.0
14.0,14.0,209.0,209.0,12.0,6.0,102.0,1.0,0,25.0,70.0
36.0,30.0,344.0,303.0,36.0,47.0,468.0,3.0,1,18.0,100.0
288.0,53.0,1928.0,330.0,27.0,8.0,149.0,6.0,1,47.0,670.0
167.0,71.0,1085.0,504.0,54.0,283.0,103.0,3.0,0,71.0,175.0
75.0,33.0,638.0,258.0,18.0,32.0,358.0,3.0,0,28.0,137.0
7.0,2.0,41.0,20.42,1.0,220.0,78.0,2.0,1,1.21,1967.6500000000008
199.0,26.0,1968.0,374.0,62.0,64.0,756.0,7.0,1,36.0,875.0
55.0,35.0,498.0,211.0,39.0,32.0,463.0,3.0,0,26.0,120.0
33.0,23.0,580.0,299.0,26.0,1.0,212.0,3.0,1,38.0,140.0
83.0,49.0,822.0,576.0,57.0,12.0,325.0,4.0,1,89.0,210.0
249.0,45.0,3015.0,381.0,32.0,7.0,228.0,7.0,1,61.0,800.0
120.0,37.0,1644.0,288.0,15.0,3.0,203.0,4.0,1,34.0,240.0
177.0,42.0,1258.0,369.0,49.0,1.0,149.0,5.0,0,43.0,350.0
198.0,41.0,1367.0,330.0,47.0,30.0,512.0,4.0,1,35.0,454.8592285120017
80.0,47.0,1038.0,547.0,12.0,459.0,261.0,2.0,0,58.0,175.0
91.0,49.0,978.0,572.0,65.0,13.0,325.0,2.0,0,105.0,200.0
386.0,27.0,4992.0,359.0,21.0,8.0,151.0,12.0,1,46.0,348.8810731653208
374.0,54.0,4739.0,514.0,79.0,453.0,229.0,9.0,1,67.0,1940.0
202.0,48.0,1493.0,359.0,63.0,93.0,682.0,7.0,1,45.0,700.0
167.0,50.0,1556.0,526.0,77.0,11.0,250.0,4.0,0,88.0,750.0
714.0,41.0,5885.0,313.0,30.0,141.0,58.0,14.0,1,43.0,450.0
88.0,88.0,540.0,540.0,55.0,6.0,157.0,1.0,0,82.0,172.0
390.0,55.0,4139.0,437.0,40.0,170.0,82.0,9.0,0,62.0,1260.0
328.0,90.0,2235.0,551.0,87.0,115.0,1224.0,5.0,0,86.0,730.095175159865
1310.8500000000004,25.0,8749.970000000001,237.0,30.0,43.0,523.0,19.79000000000002,1,15.0,750.0
125.0,19.0,1257.0,236.0,21.0,1.0,172.0,5.0,0,41.0,190.0
252.0,48.0,1966.0,473.0,29.0,84.0,846.0,6.0,0,61.0,580.0
32.0,31.0,354.0,309.0,26.0,269.0,117.0,5.0,1,33.0,130.0
435.0,29.0,4933.0,271.0,33.0,90.0,62.0,12.0,0,35.0,450.0
192.0,45.0,1394.0,357.0,39.0,2.0,167.0,5.0,0,50.0,300.0
304.0,18.0,2796.0,216.0,15.0,44.0,391.0,12.0,0,22.0,250.0
1128.0,36.0,7058.0,256.0,44.0,118.0,41.0,16.0,0,42.0,1050.0
109.0,86.0,652.0,466.0,72.0,8.0,286.0,3.0,0,75.0,215.0
380.0,29.0,3949.0,327.0,45.0,53.0,659.0,18.0,0,42.0,400.0
288.0,65.0,2131.0,462.0,37.0,65.0,866.0,7.0,0,49.0,599.0239850075366
322.0,49.0,2331.0,341.0,46.0,9.0,251.0,9.0,0,45.0,560.0
417.0,74.0,4071.0,608.0,89.0,4.0,426.0,8.0,0,107.79000000000002,1670.0
1310.8500000000004,58.0,8749.970000000001,419.0,92.0,0.0,0.0,19.79000000000002,0,65.0,487.5
4.63,4.0,41.0,33.0,7.0,5.0,205.0,1.0,0,2.0,158.24335600139807
299.0,60.0,1770.0,376.0,35.0,0.0,0.0,5.0,0,42.0,425.0
497.0,76.0,3967.0,486.0,40.0,204.0,88.0,11.0,0,51.0,500.0
16.0,16.0,186.0,186.0,11.0,3.0,99.0,1.0,1,28.0,230.32573424916552
198.0,36.0,2421.0,307.0,29.0,2.0,145.0,7.0,0,42.0,348.9795026921032
96.0,39.0,912.0,246.0,13.0,0.0,44.0,6.0,0,35.0,250.0
445.0,27.0,5134.0,205.0,17.0,3.0,155.0,12.0,0,31.0,400.0
273.0,45.0,2288.0,348.0,43.0,176.0,60.0,10.0,0,50.0,450.0
284.0,44.0,3368.0,523.0,52.0,475.0,367.0,9.0,1,52.0,750.0
22.0,22.0,312.0,312.0,24.0,150.0,86.0,1.0,0,32.0,70.0
280.0,33.0,3358.0,496.0,21.0,371.0,155.0,7.0,1,57.0,875.0
13.0,10.0,239.0,126.0,5.0,2.0,190.0,4.0,1,8.0,190.0
104.0,42.0,961.0,275.0,61.0,3.0,181.0,6.0,1,42.0,191.0
345.0,76.0,3146.0,627.0,46.0,478.1600000000001,309.0,6.0,1,68.0,740.0
71.0,28.0,1089.0,394.0,36.0,369.0,203.0,4.0,1,38.0,250.0
54.0,25.0,653.0,208.0,18.0,94.0,42.0,3.0,1,32.0,140.0
55.0,55.0,382.0,382.0,22.0,7.0,200.0,1.0,0,50.0,97.5
660.0,57.0,5348.0,459.0,68.0,0.0,0.0,12.0,0,59.0,740.0
47.0,47.0,549.0,549.0,42.0,450.0,255.0,1.0,1,73.0,140.0
259.0,33.0,2682.0,288.0,16.0,257.0,135.0,10.0,0,25.0,341.667
32.0,32.0,312.0,303.0,23.0,5.0,179.0,2.0,1,35.0,298.990292134373
827.0,46.0,7037.0,522.0,62.0,9.0,352.0,13.0,0,82.0,1000.0
276.0,88.0,1750.0,512.0,43.0,98.0,1236.0,6.0,0,54.0,100.0
31.0,28.0,290.0,220.0,13.0,21.0,281.0,3.0,0,20.0,90.0
106.0,77.0,730.0,522.0,60.0,166.0,1301.1900000000012,4.0,1,73.0,200.0
75.0,54.0,680.0,461.0,35.0,226.0,111.0,2.0,0,54.0,135.0
86.0,68.0,831.0,581.0,21.0,465.0,320.0,2.0,1,66.0,155.0
149.0,50.0,1619.0,530.0,47.0,354.0,196.0,6.0,0,82.0,475.0
1299.0,81.0,8749.970000000001,557.0,23.0,53.0,1160.0,18.0,1,58.0,1450.0
56.0,36.0,711.0,439.0,65.0,406.0,229.0,4.0,1,44.0,150.0
39.0,33.0,507.0,453.0,52.0,407.0,289.0,2.0,0,53.0,105.0
146.0,45.0,1716.0,528.0,51.0,372.0,209.0,4.0,0,67.0,350.0
230.0,56.0,3070.0,633.0,59.0,432.0,367.0,6.0,1,91.0,90.0
4.63,2.0,41.0,20.42,1.0,4.0,247.0,2.0,0,1.21,139.40824681383714
342.0,73.0,3181.0,562.0,53.0,442.0,351.0,8.0,0,88.0,530.0
300.0,25.0,2658.0,281.0,20.0,144.0,106.0,8.0,0,42.0,341.667
384.0,75.0,2765.0,593.0,53.0,10.0,315.0,6.0,0,69.0,940.0
137.0,65.0,1518.0,658.5900000000004,27.0,445.0,294.0,4.0,0,91.0,350.0
162.0,28.0,1897.0,368.0,54.0,246.0,209.0,8.0,1,48.0,326.667
82.0,23.0,888.0,263.0,30.0,147.0,81.0,4.0,1,26.0,250.0
230.0,59.0,2364.0,642.0,52.0,19.0,337.0,5.0,1,107.0,740.0
163.0,30.0,1337.0,265.0,29.0,5.0,92.0,7.0,0,26.0,425.0
919.0,41.0,7402.0,289.0,44.0,211.0,166.0,17.0,0,36.0,766.4002422136944
349.0,61.0,3162.0,559.0,73.0,414.0,352.0,8.0,1,48.0,925.0
80.0,44.0,927.0,520.0,21.0,144.0,70.0,4.0,0,53.0,185.0
4.63,3.0,41.0,20.42,1.0,70.0,692.0,1.0,0,2.0,920.0
99.0,17.0,854.0,205.0,20.0,6.0,131.0,7.0,1,24.0,286.667
139.0,29.0,1136.0,193.0,24.0,13.0,299.0,6.0,0,21.0,245.0
95.0,18.0,937.0,181.0,17.0,98.0,37.0,5.0,0,19.0,244.19387475297015
491.0,22.0,4061.0,213.0,3.0,45.0,178.0,17.0,0,17.0,235.0
340.0,52.0,2872.0,510.0,53.0,99.0,810.0,7.0,1,56.0,1150.0
161.0,59.0,1399.0,578.0,34.0,371.0,133.0,3.0,1,56.0,160.0
1310.8500000000004,29.0,8749.970000000001,200.0,25.0,29.0,398.0,19.79000000000002,1,14.0,1119.3488183732363
149.0,52.0,1546.0,441.0,76.0,290.0,160.0,5.0,0,76.0,425.0
363.0,14.0,4086.0,172.0,15.0,0.0,65.0,10.0,1,17.0,900.0
314.0,62.0,3372.0,580.0,78.0,13.0,270.0,8.0,1,91.0,538.1665010616119
1310.8500000000004,25.0,8396.0,127.0,12.0,18.0,167.0,19.0,1,14.0,500.0
148.0,31.0,1359.0,279.0,32.0,173.0,133.0,4.0,1,35.0,277.5
406.0,71.0,3031.0,480.0,44.0,270.0,94.0,7.0,1,50.0,750.0
69.0,29.0,1236.0,600.0,60.0,12.0,300.0,2.0,1,94.0,160.0
366.0,98.0,2728.0,610.0,74.0,96.0,1182.0,6.0,1,107.0,1300.0
257.0,44.0,2268.0,360.0,37.0,284.0,170.0,7.0,1,37.0,525.0
125.0,27.0,1775.0,387.0,36.0,290.0,186.0,7.0,1,67.0,550.0
322.0,71.0,2778.0,580.0,93.58000000000004,267.0,121.0,5.0,0,107.0,1600.0
41.0,41.0,408.0,408.0,34.0,72.0,942.0,1.0,1,66.0,120.0
100.0,100.0,593.0,593.0,57.0,139.0,1222.0,1.0,0,82.0,165.0
124.0,23.0,1063.0,221.0,22.0,58.0,325.0,8.0,1,21.0,281.08951896749386
311.0,48.0,2703.0,497.0,37.0,9.0,325.0,5.0,1,65.0,700.0
451.0,50.0,5511.0,492.0,93.58000000000004,381.0,313.0,12.0,0,76.0,875.0
93.0,43.0,1700.0,475.0,52.0,113.0,37.0,6.0,0,61.0,385.0
420.0,60.0,3198.0,573.0,78.0,131.0,1301.1900000000012,8.0,0,85.0,960.0
357.0,44.0,4908.0,631.0,31.0,4.0,408.0,11.0,0,77.0,1000.0
